MASHONALAND EAST PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,FACILITY,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,Chikomba Central Constituency Total,,,96,"5,865",59,6,15,29,21,123,5,9,19,5,3,20,"7,314",85,11,27,78,18,6,16,20,180,0,"14,030","13,850"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba East  ,Chikomba RDC,24,Munyoro Business Centre Tent,1800CHIK2401,1,159,1,0,0,0,0,4,0,0,0,0,0,1,269,0,0,0,10,0,0,1,0,8,0,454,446
Chikomba,Chikomba East  ,Chikomba RDC,24,Nhangabwe Primary School,1800CHIK2402,6,142,3,0,0,1,0,2,0,0,0,0,0,0,126,5,0,1,3,0,0,0,0,6,0,295,289
Chikomba,Chikomba East  ,Chikomba RDC,24,Warikandwa Primary School,1800CHIK2403,4,232,1,0,0,7,0,4,0,0,1,0,1,1,320,2,0,1,8,3,1,0,1,14,0,601,587
,,,,3 Polling Stations,WARD TOTAL,11,533,5,0,0,8,0,10,0,0,1,0,1,2,715,7,0,2,21,3,1,1,1,28,0,"1,350","1,322"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba East  ,Chikomba RDC,25,Masvaure Primary School,1800CHIK2501,5,102,3,0,1,0,2,3,0,0,0,0,0,2,179,3,0,0,1,0,0,1,2,7,0,311,304
Chikomba,Chikomba East  ,Chikomba RDC,25,Mudawarima Primary School,1800CHIK2502,2,128,1,0,0,0,0,0,0,0,0,0,0,1,167,3,0,1,7,0,0,0,0,4,0,314,310
Chikomba,Chikomba East  ,Chikomba RDC,25,Mutoredzanwa Primary School,1800CHIK2503,1,251,1,1,0,1,0,5,0,0,0,0,1,0,216,1,1,1,2,0,0,0,2,3,0,487,484
Chikomba,Chikomba East  ,Chikomba RDC,25,Ruuke Primary School,1800CHIK2504,5,226,4,0,0,0,5,10,0,0,0,0,1,1,152,1,0,4,22,1,2,0,0,9,0,443,434
Chikomba,Chikomba East  ,Chikomba RDC,25,Sadza Hall,1800CHIK2505 A,1,301,2,2,0,0,1,4,1,0,1,0,1,0,134,4,0,2,2,0,0,0,0,6,0,462,456
Chikomba,Chikomba East  ,Chikomba RDC,25,Sadza Hall,1800CHIK2505 B,1,295,2,0,0,0,2,7,0,0,0,0,0,1,134,2,0,0,1,0,0,0,3,2,0,450,448
Chikomba,Chikomba East  ,Chikomba RDC,25,Sadza Primary School,1800CHIK2506,1,145,0,1,0,1,0,8,1,1,0,0,0,0,78,1,0,0,4,0,1,1,1,4,0,248,244
,,,,7 Polling Stations,WARD TOTAL,16,1448,13,4,1,2,10,37,2,1,1,0,3,5,1060,15,1,8,39,1,3,2,8,35,0,"2,715","2,680"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba East  ,Chikomba RDC,26,Chimombe Primary School,1800CHIK2601,6,202,2,1,1,0,2,6,0,0,0,0,0,0,283,0,1,3,8,0,1,0,0,8,0,524,516
Chikomba,Chikomba East  ,Chikomba RDC,26,Chisaira Primary School,1800CHIK2602,2,75,1,0,0,1,0,3,0,1,0,0,0,0,187,1,1,0,0,0,0,0,0,4,0,276,272
Chikomba,Chikomba East  ,Chikomba RDC,26,Doororwa Primary School,1800CHIK2603,3,70,2,0,0,0,0,1,0,0,0,0,1,0,165,1,0,0,3,0,0,0,0,11,0,257,246
