MIDLANDS PROVINCE 2018 HARMONISED ELECTIONS PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATION NAME,Polling Station Code,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Chirumanzu,Chirumanzu,Takawira RDC,8,Mavhaire Primary School,7700TAK0803,4,95,0,1,0,2,0,0,0,1,0,0,0,0,174,2,0,0,1,0,0,0,1,4,0,285,281
Chirumanzu,Chirumanzu,Takawira RDC,8,Mawurunge Business Centre Tent,7700TAK0804,4,126,2,1,0,1,0,1,0,0,0,0,0,0,173,4,1,0,1,0,0,0,1,5,0,320,315
Chirumanzu,Chirumanzu,Takawira RDC,8,St Joseph Hama Primary School,7700TAK0805,1,203,0,0,0,0,1,1,0,0,0,0,0,0,119,2,0,0,1,0,1,0,0,4,0,333,329
,,,,5 Polling Stations,Ward Total,12,670,4,2,0,4,2,7,0,1,0,0,3,1,726,10,1,2,3,0,1,0,3,32,0,1485,1452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirumanzu,Chirumanzu,Takawira RDC,9,Chihosho Primary School,7700TAK0901,1,52,0,0,0,0,0,1,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,2,0,155,153
Chirumanzu,Chirumanzu,Takawira RDC,9,Guramatunhu Primary School,7700TAK0902,3,134,2,0,0,1,0,2,0,0,2,0,0,0,245,2,1,4,1,1,1,0,1,7,0,407,400
Chirumanzu,Chirumanzu,Takawira RDC,9,Ngezi Primary School,7700TAK0903,0,60,0,0,0,0,0,0,1,0,0,0,1,0,80,2,0,0,2,0,0,0,0,1,0,147,146
Chirumanzu,Chirumanzu,Takawira RDC,9,Rutunga Primary School,7700TAK0904,4,117,0,0,0,0,0,1,0,0,0,1,0,0,151,3,0,0,1,0,0,0,0,8,0,286,278
Chirumanzu,Chirumanzu,Takawira RDC,9,Siyahokwe Secondary School,7700TAK0905,0,156,1,1,0,0,0,4,0,0,1,1,1,0,258,3,0,3,1,0,1,0,0,6,0,437,431
Chirumanzu,Chirumanzu,Takawira RDC,9,Upfumba Secondary School,7700TAK0906,1,98,1,1,0,0,1,2,0,0,0,0,0,1,215,3,0,1,2,0,0,1,1,3,0,331,328
,,,,6 Polling Stations,Ward Total,9,617,4,2,0,1,1,10,1,0,3,2,2,1,1047,14,1,8,7,1,2,1,2,27,0,1763,1736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirumanzu,Chirumanzu,Takawira RDC,10,Mahlatini Village Tent,7700TAK1001,1,36,0,0,0,0,0,1,0,0,0,0,0,0,177,1,0,0,0,0,0,0,0,5,0,221,216
Chirumanzu,Chirumanzu,Takawira RDC,10,Maware Primary School,7700TAK1002,0,45,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,1,0,181,180
Chirumanzu,Chirumanzu,Takawira RDC,10,Nhamo Turn-Off Tent,7700TAK1003,1,38,0,0,0,0,0,1,0,0,0,0,0,1,168,0,0,0,0,0,0,0,1,1,0,211,210
,,,,3 Polling Stations,Ward Total,2,119,0,0,0,0,0,2,0,0,0,0,0,1,480,1,0,0,0,0,0,0,1,7,0,613,606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirumanzu,Chirumanzu,Takawira RDC,21,Gonamombe Business Centre Tent,7700TAK2101,0,58,1,0,0,0,0,2,0,0,0,0,2,0,169,1,0,0,0,0,1,0,0,4,0,238,234
Chirumanzu,Chirumanzu,Takawira RDC,21,Mazvimba Primary School,7700TAK2102,2,121,0,1,0,0,0,3,0,0,0,0,0,0,252,3,0,0,1,0,0,0,1,6,0,390,384
Chirumanzu,Chirumanzu,Takawira RDC,21,Mukomberanwa Secondary School,7700TAK2103,0,38,0,0,0,0,0,2,0,0,0,0,0,0,114,1,0,0,1,0,0,0,0,3,0,159,156
