MATABELELAND NORTH PROVINCE : 2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,Busha Joseph Makamba FreeZim Congress,"Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,BINGA NORTH CONSTITUENCY,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,9,Ndalisanga Business Centre Tent,0600BGA0904,0,251,1,0,0,0,5,1,0,0,0,0,0,0,182,2,0,2,0,0,0,1,0,10,0,455,445
Binga,Binga North,Binga RDC,9,Sianzyundu Secondary School A,0600BGA0905 A,3,361,0,0,0,0,2,3,0,0,0,0,0,0,124,1,0,0,0,0,1,0,1,11,0,507,496
Binga,Binga North,Binga RDC,9,Sianzyundu Secondary School B,0600BGA0905 B,1,353,2,0,0,0,0,1,0,0,0,0,0,1,113,4,1,1,0,0,2,1,4,5,0,489,484
,,,,6 POLLING STATIONS,WARD TOTAL,9,1820,5,0,0,1,16,17,2,0,0,0,0,2,708,14,1,3,4,0,3,6,5,38,0,2654,2616
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,10,Bunsiwa Primary School,0600BGA1001,1,225,1,0,0,1,0,6,0,0,0,0,0,0,82,4,0,0,0,0,0,0,0,6,0,326,320
Binga,Binga North,Binga RDC,10,Gaza Primary School,0600BGA1002,3,282,2,1,1,0,1,3,0,1,0,0,0,0,65,2,0,1,0,2,0,1,0,15,0,380,365
Binga,Binga North,Binga RDC,10,Nkalange Proposed Clinic Tent,0600BGA1003,0,181,1,0,0,1,0,1,0,0,0,0,0,0,32,0,0,0,0,1,0,1,0,11,0,229,218
Binga,Binga North,Binga RDC,10,Siachilaba Primary School,0600BGA1004,4,544,3,0,0,3,0,14,1,0,0,0,0,0,117,8,0,1,3,0,0,1,2,48,0,749,701
,,,,4 POLLING STATIONS,WARD TOTAL,8,1232,7,1,1,5,1,24,1,1,0,0,0,0,296,14,0,2,3,3,0,3,2,80,0,1684,1604
