MASHONALAND CENTRAL PROVINCE:  2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura RDC,5,Craigside Farm Tent,0500BIN0501,4,42,0,1,1,1,1,2,0,0,0,0,1,1,624,1,0,2,0,0,0,0,0,2,0,683,681
Bindura,Bindura North,Bindura RDC,5,Dondori Primary School,0500BIN0502,0,17,1,0,1,0,0,0,0,1,0,0,0,0,628,0,0,0,1,0,0,0,1,2,0,652,650
Bindura,Bindura North,Bindura RDC,5,St Basil Primary School,0500BIN0503,3,33,0,0,0,4,1,0,0,0,0,0,0,1,852,0,0,0,0,0,0,1,1,13,0,909,896
Bindura,Bindura North,Bindura RDC,5,Tarlington Farm Tent,0500BIN0504,0,3,0,0,0,0,0,0,0,0,0,0,0,0,250,1,0,0,0,0,0,0,0,2,0,256,254
,,,,4 Polling Stations,Ward Total,7,95,1,1,2,5,2,2,0,1,0,0,1,2,"2,354",2,0,2,1,0,0,1,2,19,0,"2,500","2,481"
,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura RDC,7,Chipadze Farm Secondary School,0500BIN0701,0,19,0,0,0,0,0,0,0,2,0,0,0,0,383,0,0,0,3,0,0,0,0,1,0,408,407
Bindura,Bindura North,Bindura RDC,7,Chiwaridza Farm Tent,0500BIN0702,0,27,0,0,0,1,0,0,0,0,0,0,0,0,843,1,1,0,1,0,0,0,0,2,0,876,874
Bindura,Bindura North,Bindura RDC,7,Timsite Mill (Pama China) Tent,0500BIN0703,1,188,0,0,0,2,0,11,0,0,0,0,0,2,267,0,0,0,1,0,1,1,2,7,0,483,476
Bindura,Bindura North,Bindura RDC,7,Uronga South Primary School,0500BIN0704,0,40,0,0,0,2,0,2,0,0,0,0,0,0,288,1,0,0,6,0,0,0,2,3,0,344,341
Bindura,Bindura North,Bindura RDC,7,Woodbrook Farm Tent,0500BIN0705,0,224,0,0,0,0,1,1,0,0,0,0,0,0,306,2,0,1,1,0,1,2,0,0,0,539,539
,,,,5 Polling Stations,Ward Total,1,498,0,0,0,5,1,14,0,2,0,0,0,2,"2,087",4,1,1,12,0,2,3,4,13,0,"2,650","2,637"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura RDC,19,Benwell Farm Tent,0500BIN1901,1,8,0,0,0,1,0,0,0,0,0,0,0,0,424,0,0,0,1,0,0,0,0,4,0,439,435
Bindura,Bindura North,Bindura RDC,19,Foothills Primary School,0500BIN1902,5,217,2,1,0,1,1,3,1,1,0,1,2,2,524,1,1,1,5,1,3,0,0,50,0,823,773
Bindura,Bindura North,Bindura RDC,19,Irenedale Farm Tent,0500BIN1903,2,20,1,1,2,0,0,0,0,0,0,0,0,0,492,0,0,0,0,1,1,0,0,2,0,522,520
Bindura,Bindura North,Bindura RDC,19,Jesmond Dean Estate Tent,0500BIN1904,0,5,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,1,0,1,0,0,2,0,322,320
Bindura,Bindura North,Bindura RDC,19,River View Farm Tent,0500BIN1905,1,73,0,0,0,0,0,1,0,0,0,0,0,1,294,0,0,2,0,0,0,0,0,5,0,377,372
Bindura,Bindura North,Bindura RDC,19,Sydenham Farm Tent,0500BIN1906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,45,45
,,,,6 Polling Stations,Ward Total,9,324,3,2,2,2,1,4,1,1,0,1,2,3,"2,091",1,1,3,7,2,5,0,0,63,0,"2,528","2,465"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura RDC,20,Avoca Primary School,0500BIN2001,2,11,0,0,1,0,1,0,0,1,0,0,0,0,282,0,0,1,0,0,0,0,0,1,0,300,299
Bindura,Bindura North,Bindura RDC,20,Claverhill Farm Tent,0500BIN2002,0,119,0,0,0,0,0,1,1,0,0,0,0,0,163,4,0,0,3,1,3,1,0,12,0,308,296
Bindura,Bindura North,Bindura RDC,20,Melfort Farm Tent,0500BIN2003,0,82,1,0,0,2,1,2,0,4,0,0,0,1,253,0,2,0,2,1,1,0,1,9,0,362,353
Bindura,Bindura North,Bindura RDC,20,Nethergreen Primary School A,0500BIN2004 A,3,14,3,0,0,0,0,0,0,1,0,0,0,0,478,0,0,0,1,1,0,0,0,2,0,503,501
Bindura,Bindura North,Bindura RDC,20,Nethergreen Primary School B,0500BIN2004 B,1,33,0,0,0,1,0,1,0,0,0,1,0,1,460,0,0,0,1,1,0,0,0,3,0,503,500
Bindura,Bindura North,Bindura RDC,20,Selwood Farm Tent,0500BIN2005,0,43,0,1,0,0,0,2,0,0,1,0,0,0,71,0,0,0,2,0,0,0,1,3,0,124,121
Bindura,Bindura North,Bindura RDC,20,Zvakwana Primary School,0500BIN2006,2,25,1,0,0,0,1,0,0,0,1,0,0,1,445,1,0,0,4,0,0,0,0,1,0,482,481
,,,,7 Polling Stations,Ward Total,8,327,5,1,1,3,3,6,1,6,2,1,0,3,"2,152",5,2,1,13,4,4,1,2,31,0,"2,582","2,551"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura North  Total,,,,,,61,"14,824",31,7,10,31,18,94,6,12,4,6,7,15,"28,051",47,12,32,163,21,25,10,13,360,0,"43,860","43,500"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura South,Bindura RDC,6,Brinkburn Farm Tent,0500BIN0601,0,22,0,0,0,1,0,0,0,0,0,0,0,0,344,0,0,1,2,0,0,0,0,2,0,372,370
Bindura,Bindura South,Bindura RDC,6,Cornerstone Primary School,0500BIN0602,0,376,0,0,0,1,0,2,0,0,0,0,0,0,173,1,0,0,1,1,0,0,0,3,0,558,555
Bindura,Bindura South,Bindura RDC,6,Garikai Extension Tent,0500BIN0603,0,237,0,0,0,0,0,0,0,0,0,0,0,1,131,1,0,0,1,1,0,0,0,3,0,375,372
