DISTRICT,CONSTITUENCY,LOCAL AUTHORITY,WARD NO,POLLING STATION,STATION CODE,Busha Joseph Makamba,Chamisa Nelson,Chikanga  Everisto Washington,Dzapasi Melbah ,Gava Peter Mapfumo ,Hlabangana Kwanele,Kasiyamhuru Blessing,Khupe Thokozani,Madhuku Lovemore,Mangoma Elton Steers,Manyika Noah Ngoni,Mapfumo Chiguvare Tonderayi Johannes Timothy,MARIYACHA Violet,Mhambi-Hove Divine,Mnangagwa Emmerson Dambudzo,Moyo Donald Nkosana ,Mteki Bryn Taurai,Mugadza Willard Tawonezvi,Mujuru Joice Teurai Ropa,Munyanduri Tenda Peter,MutinhirI Ambrose,Shumba Kuzozvirava Doniel,Wilson Peter Harry,Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Umzingwane,Umzingwane,Umzingwane RDC,1,Sigola Primary  School,8700UMZ0102,4,201,8,0,0,6,2,8,1,1,0,2,0,0,407,2,1,0,4,2,1,0,1,15,0,666,651
Umzingwane,Umzingwane,Umzingwane RDC,1,Zanqaweni Pre-School  Tent,8700UMZ0103,3,102,0,0,0,0,3,7,0,0,0,0,0,0,174,1,0,1,1,1,0,0,0,7,0,300,293
Umzingwane,Umzingwane,Umzingwane RDC,2,Nhlozamandla  Pre-School,8700UMZ0201,4,170,1,0,0,2,1,11,1,1,0,0,0,0,150,1,1,1,0,0,1,1,0,9,0,355,346
Umzingwane,Umzingwane,Umzingwane RDC,2,Sihlengeni Community Hall,8700UMZ0202,3,272,2,2,0,0,0,13,0,0,1,0,0,0,346,2,1,0,0,1,0,0,0,11,0,654,643
Umzingwane,Umzingwane,Umzingwane RDC,2,Siphezini Old Clinic Tent,8700UMZ0203,0,70,0,1,0,0,0,1,0,0,0,1,0,0,133,0,0,1,0,1,0,1,0,1,0,210,209
Umzingwane,Umzingwane,Umzingwane RDC,2,SIPHEZINI Primary School,8700UMZ0204,1,65,0,0,0,0,0,1,0,0,1,0,0,0,59,2,1,0,0,0,1,1,0,0,0,132,132
Umzingwane,Umzingwane,Umzingwane RDC,3,Gongo Pre-School,8700UMZ0301,1,194,4,0,0,3,4,9,0,1,0,0,0,0,120,2,0,0,8,1,1,1,1,4,0,354,350
Umzingwane,Umzingwane,Umzingwane RDC,3,Matshetshe Primary School,8700UMZ0302,1,206,6,0,0,2,1,9,0,0,2,0,0,0,126,3,0,3,0,1,2,1,1,11,0,375,364
Umzingwane,Umzingwane,Umzingwane RDC,3,Mtshede Primary School,8700UMZ0303,2,55,0,1,2,1,1,4,0,0,1,0,0,0,157,1,0,2,0,0,1,1,1,10,0,240,230
Umzingwane,Umzingwane,Umzingwane RDC,3,Mzinyathi Primary School,8700UMZ0304,0,115,2,0,0,3,1,6,0,0,0,0,0,0,93,0,0,0,0,0,0,1,1,4,0,226,222
Umzingwane,Umzingwane,Umzingwane RDC,3,Sikhoveni Primary School,8700UMZ0305,9,195,9,4,0,4,1,16,1,0,1,0,0,2,262,0,0,4,2,2,1,0,0,5,0,518,513
Umzingwane,Umzingwane,Umzingwane RDC,3,Sikhoveni Secondary School,8700UMZ0306,0,51,0,0,0,1,1,1,0,0,0,0,0,0,26,1,0,0,1,0,0,0,0,1,0,83,82
Umzingwane,Umzingwane,Umzingwane RDC,4,Bonjeni Primary School,8700UMZ0401,0,77,1,0,0,2,1,4,0,0,0,0,0,0,163,0,0,2,1,0,0,0,0,15,0,266,251
Umzingwane,Umzingwane,Umzingwane RDC,4,Doyana Primary School,8700UMZ0402,1,171,1,0,0,0,0,4,0,0,0,1,0,2,156,2,1,1,1,0,1,1,1,20,0,364,344
Umzingwane,Umzingwane,Umzingwane RDC,4,Mbizingwe Pre-School,8700UMZ0403,0,7,1,0,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1,0,46,45
Umzingwane,Umzingwane,Umzingwane RDC,4,Mbizingwe Primary School,8700UMZ0404,2,69,1,0,0,2,0,8,1,0,0,0,0,1,240,2,0,0,0,0,0,2,0,9,0,337,328
Umzingwane,Umzingwane,Umzingwane RDC,4,Nsezi Primary School,8700UMZ0405,3,139,1,1,1,1,1,2,1,0,1,1,1,0,179,4,0,2,1,0,0,1,0,9,0,349,340
Umzingwane,Umzingwane,Umzingwane RDC,5,Mawabeni Primary School A,8700UMZ0501 A,4,246,6,0,0,1,0,9,0,0,1,0,1,0,145,1,0,2,2,0,0,1,1,13,0,433,420
Umzingwane,Umzingwane,Umzingwane RDC,5,Mawabeni Primary School B,8700UMZ0501 B,2,250,2,1,0,0,1,5,0,1,0,1,0,0,171,1,1,1,0,0,1,0,2,3,0,443,440
Umzingwane,Umzingwane,Umzingwane RDC,5,MLOMOLIWOTO Primary School,8700UMZ0502,0,226,1,0,1,2,1,7,0,0,0,0,0,2,100,3,0,3,0,1,0,1,1,6,0,355,349
Umzingwane,Umzingwane,Umzingwane RDC,5,Mzinyathini High School,8700UMZ0503,0,142,2,0,2,0,1,3,0,0,0,0,0,1,108,3,0,0,0,0,0,0,1,3,0,266,263
Umzingwane,Umzingwane,Umzingwane RDC,6,Longfield Primary School,8700UMZ0601,3,347,4,0,1,6,1,19,0,0,0,0,0,1,174,5,0,5,1,1,0,1,2,18,0,589,571
Umzingwane,Umzingwane,Umzingwane RDC,6,Nonkwane Primary School,8700UMZ0602,2,226,1,0,1,1,0,10,0,1,0,0,0,1,67,4,0,3,0,0,0,3,2,2,0,324,322
Umzingwane,Umzingwane,Umzingwane RDC,6,Swazi Secondary School,8700UMZ0603,0,112,1,0,0,0,0,4,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,1,0,172,171
Umzingwane,Umzingwane,Umzingwane RDC,7,Madlindevu Business Centre Tent,8700UMZ0701,0,236,1,2,0,0,0,16,0,0,0,0,0,0,84,1,0,1,1,1,1,2,3,9,0,358,349
Umzingwane,Umzingwane,Umzingwane RDC,7,Mathendele Orap Centre,8700UMZ0702,0,51,0,0,0,0,0,4,0,0,0,0,0,0,30,1,0,0,1,0,0,0,0,1,0,88,87
Umzingwane,Umzingwane,Umzingwane RDC,7,Sezhube Business Centre Tent,8700UMZ0703,4,186,6,0,0,1,0,14,1,0,0,0,0,0,81,3,1,0,0,0,0,1,0,3,0,301,298
Umzingwane,Umzingwane,Umzingwane RDC,7,Swazi Primary School,8700UMZ0704,1,123,1,0,0,0,0,6,0,0,0,0,0,2,98,1,0,1,1,1,1,1,0,3,0,240,237
