"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Buhera,Buhera North,Buhera RDC,7,Chikwekwete Primary School,0700BUH0702,2,152,0,0,0,1,0,1,0,0,0,0,0,1,176,0,0,0,0,0,1,0,0,1,0,335,334
Buhera,Buhera North,Buhera RDC,7,Mombeyarara Primary School,0700BUH0703,1,196,0,0,0,1,1,2,0,1,0,0,0,0,169,1,0,0,0,0,0,0,0,7,0,379,372
Buhera,Buhera North,Buhera RDC,7,Muchuweni Business Centre Tent,0700BUH0704,0,104,0,0,0,0,0,2,0,0,0,0,0,1,133,3,0,1,0,0,1,0,0,1,0,246,245
Buhera,Buhera North,Buhera RDC,7,Sikereta Business Centre Tent,0700BUH0705,0,187,1,0,0,2,1,4,0,0,0,1,0,0,231,2,2,2,0,0,1,0,0,3,0,437,434
,,,, 5 POLLING STATIONS,Ward Total,6,934,1,0,0,5,4,12,1,2,0,1,0,2,952,7,2,3,2,0,3,0,0,20,0,1957,1937
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera North,Buhera RDC,8,Chimumvuri Business Centre Tent,0700BUH0801,1,66,0,0,0,0,1,0,0,0,0,0,0,0,265,0,0,0,2,0,1,0,1,3,0,340,337
Buhera,Buhera North,Buhera RDC,8,Chirasauta Primary School,0700BUH0802,2,80,1,0,0,0,0,4,0,0,0,1,0,0,202,1,0,0,1,0,0,0,0,1,0,293,292
Buhera,Buhera North,Buhera RDC,8,Chiturike Primary School,0700BUH0803,1,158,1,0,0,2,0,2,2,0,0,1,0,0,254,0,1,0,3,1,0,0,0,3,0,429,426
Buhera,Buhera North,Buhera RDC,8,Redzo Church Tent,0700BUH0804,1,96,2,0,0,0,0,0,0,0,0,0,0,0,223,2,0,1,1,0,0,0,0,3,0,329,326
